SS18941,Stabilo Sensor F-tip Fineliner Pen Blue (Pack of 10) 189/41,15121,108,189/41,F,N,10,35.09,23.39,1,100011,4.01E+12,N.1,Unnamed: 14,SS18941.1,Stabilo,Stabilo.1,4,1.1,0.1,N.2,44121702,0,Stabilo Sensor F-tip Fline Blu Pk10,Unnamed: 25
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,431879,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,25728,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,572726,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,143672,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,35934X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,413400,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,324939,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,999,,N,,0,,
,,,,,,Y,,,,1,,,N,609436,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,471505,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,420060,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,56940X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,499539,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,J67001,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,697429,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,16093,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,132560,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,43037,,,,,997,,N,,0,,
